level,0,1/8,1/4,1/2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,4-5,2,1,,,,,,,,,,,,,,,,,,,,,
2,7-8,4,2,1,,,,,,,,,,,,,,,,,,,,
3,11-12,,4,2,1,,,,,,,,,,,,,,,,,,,
4,13-14,7-8,4-5,2,1,,,,,,,,,,,,,,,,,,,
5,,11-14,8-9,5,1,1,1,,,,,,,,,,,,,,,,,
6,,14,10,6,3,2,1,1,,,,,,,,,,,,,,,,
7,,15-17,11,7,4,2,1,1,,,,,,,,,,,,,,,,
8,,17-20,11-13,7-9,5,2-3,1,1,1,,,,,,,,,,,,,,,
9,,20,12-14,8-10,5-6,3,2,1,1,,,,,,,,,,,,,,,
10,,,14,10,6,3,2,1,1,1,,,,,,,,,,,,,,
11,,,15-18,11,7,4,2,1-2,1,1,1,,,,,,,,,,,,,
12,,,18-20,12-14,8-9,4-5,3,1-2,1,1,1,,,,,,,,,,,,,
13,,,,13-14,9-10,5,3,1-2,1,1,1,1,,,,,,,,,,,,
14,,,,13-14,10,6,4,2,2,1,1,1,,,,,,,,,,,,
15,,,,15-16,10,6,4,3,2,1-2,1,1,1,,,,,,,,,,,
16,,,,15-18,11,,5,3,2,2,1,1,1,1,,,,,,,,,,
17,,,,18-20,11-14,7-8,6,4,2,2,1-2,1,1,1,1,,,,,,,,,
18,,,,19-20,12-14,8-9,6,4,2,2,2,1,1,1,1,,,,,,,,,
19,,,,,14,9-10,,4-5,3,2,2,1,1,1,1,1,,,,,,,,
20,,,,,15-16,10,7,5-6,3,2,2,2,1,1,1,1,1,,,,,,,
